question_zh,answer_zh,question_en,answer_en,notice
圖書館平日的開放時間是什麼？,示範圖書館於週一至週五 08:30 至 21:00 開放。請注意這是虛構示範資料。,"What are the weekday opening hours?","The demo library is open Monday through Friday from 8:30 AM to 9:00 PM. This is fictional demonstration data.",Fictional demo data only
圖書館週末的開放時間是什麼？,示範圖書館於週六 09:00 至 17:00 開放，週日不開放。請注意這是虛構示範資料。,"What are the weekend opening hours?","The demo library is open Saturday from 9:00 AM to 5:00 PM and closed on Sunday. This is fictional demonstration data.",Fictional demo data only
如何借閱館藏？,請使用校園卡在自助借書機或服務台辦理借閱。請注意這是虛構示範資料。,"How do I borrow an item?","Use your campus card at the self-checkout machine or service desk to borrow an item. This is fictional demonstration data.",Fictional demo data only
一次最多可以借幾本書？,示範規則是每位讀者最多可借閱 10 本一般圖書。請注意這是虛構示範資料。,"How many books can I borrow at once?","Under the demo rules each reader may borrow up to 10 regular books. This is fictional demonstration data.",Fictional demo data only
一般圖書可以借多久？,示範規則是一般圖書借期為 21 天。請注意這是虛構示範資料。,"How long is the loan period for regular books?","Under the demo rules regular books have a 21-day loan period. This is fictional demonstration data.",Fictional demo data only
可以續借已借閱的書嗎？,若該書沒有其他讀者預約，示範規則允許續借一次。請注意這是虛構示範資料。,"Can I renew a borrowed book?","Under the demo rules you may renew an item once if no other reader has reserved it. This is fictional demonstration data.",Fictional demo data only
逾期會怎麼處理？,示範規則是逾期期間將暫停新的借閱權限，直到歸還館藏。請注意這是虛構示範資料。,"What happens if an item is overdue?","Under the demo rules new borrowing is paused until the item is returned. This is fictional demonstration data.",Fictional demo data only
如何預約已被借走的書？,請在示範館藏系統搜尋書名後，選擇預約按鈕。請注意這是虛構示範資料。,"How do I reserve a checked-out book?","In the demo catalog, search for the title and select the reserve button. This is fictional demonstration data.",Fictional demo data only
圖書館有提供電腦嗎？,示範圖書館在二樓提供 20 台公共電腦，使用校園帳號登入。請注意這是虛構示範資料。,"Does the library provide computers?","The demo library provides 20 public computers on the second floor; sign in with a campus account. This is fictional demonstration data.",Fictional demo data only
可以在圖書館飲食嗎？,示範規則是只能在一樓休息區飲用有蓋飲料，不可在閱覽區用餐。請注意這是虛構示範資料。,"Can I eat or drink in the library?","Under the demo rules, covered drinks are allowed only in the first-floor lounge and food is not allowed in reading areas. This is fictional demonstration data.",Fictional demo data only
遺失校園卡怎麼辦？,請先通知服務台暫停借閱權限，再依示範校園流程申請補發。請注意這是虛構示範資料。,"What should I do if I lose my campus card?","First notify the service desk to pause borrowing, then apply for a replacement through the demo campus process. This is fictional demonstration data.",Fictional demo data only
可以借閱期刊或參考書嗎？,示範規則是期刊與參考書僅限館內閱覽，不提供外借。請注意這是虛構示範資料。,"Can I borrow journals or reference books?","Under the demo rules journals and reference books are for in-library use only. This is fictional demonstration data.",Fictional demo data only
